year_month,location,date,irradiance,temp_c
2020-09,Miaoli,2020-09-15 12:00:00,4.8427333333333324,26.624000000000002
2020-09,Pingtung,2020-09-15 12:00:00,5.63112,27.565333333333335
2020-09,Taichung,2020-09-15 12:00:00,4.8427333333333324,26.379666666666665
2020-09,Tainan,2020-09-15 12:00:00,5.2710333333333335,28.439
2020-09,Taipei,2020-09-15 12:00:00,4.164503333333333,25.529333333333334
2020-09,Taitung,2020-09-15 12:00:00,5.218186666666667,25.134
2020-09,Taoyuan,2020-09-15 12:00:00,4.3325,25.529333333333334
2020-09,Yunlin,2020-09-15 12:00:00,5.2710333333333335,23.830333333333332
2020-10,Changhua,2020-10-16 00:00:00,4.121409677419355,25.924193548387095
2020-10,Chiayi,2020-10-16 00:00:00,4.646212903225806,23.768387096774195
2020-10,Hsinchu,2020-10-16 00:00:00,4.121409677419355,22.60967741935484
2020-10,Hualien,2020-10-16 00:00:00,3.6204483870967743,26.281612903225806
2020-10,Kaohsiung,2020-10-16 00:00:00,4.440764516129033,27.743870967741934
2020-10,Miaoli,2020-10-16 00:00:00,4.121409677419355,24.828387096774193
2020-10,Pingtung,2020-10-16 00:00:00,4.440764516129033,26.5641935483871
2020-10,Taichung,2020-10-16 00:00:00,4.121409677419355,25.924193548387095
2020-10,Tainan,2020-10-16 00:00:00,4.646212903225806,26.809677419354838
2020-10,Taipei,2020-10-16 00:00:00,3.3531870967741937,22.60967741935484
2020-10,Taitung,2020-10-16 00:00:00,3.800964516129032,23.106129032258064
2020-10,Taoyuan,2020-10-16 00:00:00,3.5683645161290323,22.60967741935484
2020-10,Yunlin,2020-10-16 00:00:00,4.646212903225806,23.768387096774195
2020-11,Changhua,2020-11-15 12:00:00,3.3039899999999998,24.326999999999998
2020-11,Chiayi,2020-11-15 12:00:00,3.606543333333333,22.319666666666667
2020-11,Hsinchu,2020-11-15 12:00:00,3.3039899999999998,21.038666666666664
2020-11,Hualien,2020-11-15 12:00:00,2.9870333333333337,24.855999999999998
2020-11,Kaohsiung,2020-11-15 12:00:00,3.7597366666666665,26.154999999999998
2020-11,Miaoli,2020-11-15 12:00:00,3.3039899999999998,22.996
2020-11,Pingtung,2020-11-15 12:00:00,3.7597366666666665,24.938333333333333
2020-11,Taichung,2020-11-15 12:00:00,3.3039899999999998,24.326999999999998
2020-11,Tainan,2020-11-15 12:00:00,3.606543333333333,25.162333333333333
2020-11,Taipei,2020-11-15 12:00:00,2.669303333333333,21.038666666666664
2020-11,Taitung,2020-11-15 12:00:00,3.0093166666666664,21.598666666666666
2020-11,Taoyuan,2020-11-15 12:00:00,3.0572833333333334,21.038666666666664
2020-11,Yunlin,2020-11-15 12:00:00,3.606543333333333,22.319666666666667
2020-12,Changhua,2020-12-16 00:00:00,2.284641935483871,19.590645161290322
2020-12,Chiayi,2020-12-16 00:00:00,3.071351612903226,18.391290322580645
2020-12,Hsinchu,2020-12-16 00:00:00,2.284641935483871,16.343548387096774
2020-12,Hualien,2020-12-16 00:00:00,2.2737354838709676,21.548387096774192
2020-12,Kaohsiung,2020-12-16 00:00:00,3.1215580645161287,23.09774193548387
2020-12,Miaoli,2020-12-16 00:00:00,2.284641935483871,18.60483870967742
2020-12,Pingtung,2020-12-16 00:00:00,3.1215580645161287,22.30322580645161
2020-12,Taichung,2020-12-16 00:00:00,2.284641935483871,19.590645161290322
2020-12,Tainan,2020-12-16 00:00:00,3.071351612903226,21.758064516129032
2020-12,Taipei,2020-12-16 00:00:00,1.3542387096774193,16.343548387096774
2020-12,Taitung,2020-12-16 00:00:00,2.230132258064516,18.734516129032258
2020-12,Taoyuan,2020-12-16 00:00:00,2.0847258064516128,16.343548387096774
2020-12,Yunlin,2020-12-16 00:00:00,3.071351612903226,18.391290322580645
2021-01,Changhua,2021-01-16 00:00:00,3.2450290322580644,15.831612903225807
2021-01,Chiayi,2021-01-16 00:00:00,3.7856064516129035,14.531935483870969
2021-01,Hsinchu,2021-01-16 00:00:00,3.2450290322580644,13.467419354838709
2021-01,Hualien,2021-01-16 00:00:00,2.775622580645161,19.066774193548387
2021-01,Kaohsiung,2021-01-16 00:00:00,3.811916129032258,20.350645161290323
2021-01,Miaoli,2021-01-16 00:00:00,3.2450290322580644,15.27258064516129
2021-01,Pingtung,2021-01-16 00:00:00,3.811916129032258,19.418387096774193
2021-01,Taichung,2021-01-16 00:00:00,3.2450290322580644,15.831612903225807
2021-01,Tainan,2021-01-16 00:00:00,3.7856064516129035,18.663870967741936
2021-01,Taipei,2021-01-16 00:00:00,2.3619290322580646,13.467419354838709
2021-01,Taitung,2021-01-16 00:00:00,2.845248387096774,16.238064516129032
2021-01,Taoyuan,2021-01-16 00:00:00,2.965783870967742,13.467419354838709
2021-01,Yunlin,2021-01-16 00:00:00,3.7856064516129035,14.531935483870969
